Subject,Mask,Model,a2,b1,b2,sigma,w1,w_v,w_avg,a2_s,b1_s,b2_s,sigma_s,w1_s,w_v_s,w_avg_s,b1+b2,b1+b2_s,Adjusted R2,bic,bic_rel
102,OFCmed,Null,43.898044494763255,0.0,0.0,1.0,0.0,0.0,0.0,0.43593116093291706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03422117939394553,2722051.469843011,0.0
102,dmPFC,Null,55.562872452538365,0.0,0.0,1.0,0.0,0.0,0.0,0.5451832649312637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03500827696166553,2850170.354772235,0.0
102,vmPFC,Absolute,41.31544762521374,3.7220144547458416,0.0,1.0,0.0,0.0,0.0,0.45614797460249923,0.05614797214922103,0.0,0.0,0.0,0.0,0.0,3.7220144547458416,0.05614797214922103,0.04925773744611839,2740959.5940608117,-4348.41226422973
102,OFCmed,Absolute,39.422456630469355,3.527278353003217,0.0,1.0,0.0,0.0,0.0,0.4380884472751436,0.05392499651124702,0.0,0.0,0.0,0.0,0.0,3.527278353003217,0.05392499651124702,0.04843150689779718,2717817.0403105174,-4234.429532493465
102,dmPFC,Absolute,49.96202977938364,4.414108549950907,0.0,1.0,0.0,0.0,0.0,0.5478759508787056,0.06743891312672133,0.0,0.0,0.0,0.0,0.0,4.414108549950907,0.06743891312672133,0.04922526107028258,2845930.430718243,-4239.924053991679
102,vmPFC,Relative,29.622090766134164,11.410483693113266,-6.254202868753218,1.0,0.0,0.0,0.0,0.49218031484739094,0.0876195266231564,0.05399765090742053,0.0,0.0,0.0,0.0,5.1562808243600475,0.04685748406441202,0.08862976025172653,2728856.401091935,-16451.605233106297
102,OFCmed,Relative,28.162598010184855,10.950401609653447,-5.999426428350529,1.0,0.0,0.0,0.0,0.4726159578955015,0.08413661669597003,0.051851223487979076,0.0,0.0,0.0,0.0,4.950975181302918,0.04499488102776875,0.08813975771635296,2705618.9918263834,-16432.478016627487
102,dmPFC,Relative,35.46099456286997,13.872926524551273,-7.623828502760034,1.0,0.0,0.0,0.0,0.5906027129465496,0.10514099930098547,0.06479568191114579,0.0,0.0,0.0,0.0,6.249098021791239,0.05622767993841984,0.09029810334836474,2833292.6137742666,-16877.74099796824
103,vmPFC,Null,72.9738518144552,0.0,0.0,1.0,0.0,0.0,0.0,0.5739625343718789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05329974750210542,2886445.1903723176,0.0
103,OFCmed,Null,71.81952517119797,0.0,0.0,1.0,0.0,0.0,0.0,0.5622553764773932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05377454805269932,2874613.7014422775,0.0
